시점,시도,주택유형,개수
2011.11,경기도,아파트,8958
2011.11,경상남도,아파트,4114
2011.11,경상북도,아파트,292
2011.11,광주광역시,아파트,124
2011.11,대구광역시,아파트,47
2011.11,대전광역시,아파트,619
2011.11,부산광역시,아파트,4362
2011.11,서울특별시,아파트,1782
2011.11,울산광역시,아파트,14
2011.11,인천광역시,아파트,925
2011.11,전라남도,아파트,1964
2011.11,전북특별자치도,아파트,1142
2011.11,제주특별자치도,아파트,828
2011.11,충청남도,아파트,7287
2011.11,충청북도,아파트,1194
2011.12,강원특별자치도,아파트,3028
2011.12,경기도,아파트,12283
2011.12,경상남도,아파트,1101
2011.12,경상북도,아파트,2532
2011.12,광주광역시,아파트,847
2011.12,대구광역시,아파트,426
2011.12,대전광역시,아파트,2381
2011.12,부산광역시,아파트,6920
2011.12,서울특별시,아파트,12863
2011.12,울산광역시,아파트,17
2011.12,인천광역시,아파트,3362
2011.12,전라남도,아파트,1740
2011.12,전북특별자치도,아파트,3064
2011.12,제주특별자치도,아파트,688
2011.12,충청남도,아파트,-1494
2011.12,충청북도,아파트,1929
2012.01,강원특별자치도,아파트,0
2012.01,경기도,아파트,801
2012.01,경상남도,아파트,1716
2012.01,경상북도,아파트,109
2012.01,광주광역시,아파트,1804
2012.01,대구광역시,아파트,0
2012.01,대전광역시,아파트,344
2012.01,부산광역시,아파트,465
2012.01,서울특별시,아파트,3589
2012.01,울산광역시,아파트,19
2012.01,인천광역시,아파트,1551
2012.01,전라남도,아파트,384
2012.01,전북특별자치도,아파트,0
2012.01,제주특별자치도,아파트,231
2012.01,충청남도,아파트,0
2012.01,충청북도,아파트,0
2012.02,강원특별자치도,아파트,0
2012.02,경기도,아파트,586
2012.02,경상남도,아파트,3036
2012.02,경상북도,아파트,45
2012.02,광주광역시,아파트,2260
2012.02,대구광역시,아파트,0
2012.02,대전광역시,아파트,402
2012.02,부산광역시,아파트,1288
2012.02,서울특별시,아파트,995
2012.02,울산광역시,아파트,220
2012.02,인천광역시,아파트,279
2012.02,전라남도,아파트,304
2012.02,전북특별자치도,아파트,1044
2012.02,제주특별자치도,아파트,662
2012.02,충청남도,아파트,4171
2012.02,충청북도,아파트,0
2012.03,강원특별자치도,아파트,99
2012.03,경기도,아파트,4250
2012.03,경상남도,아파트,1259
2012.03,경상북도,아파트,2559
2012.03,광주광역시,아파트,757
